id,vin,heading,price,miles,msrp,dom,seller_type,inventory_type,first_seen_at_date,last_seen_at_date,dealer.city,dealer.state,dealer.zip,build.year,build.make,build.model,build.trim,build.body_type,build.vehicle_type,build.transmission,build.drivetrain,build.fuel_type,build.engine,build.cylinders,dist,age
4T1G11AK3PU799689-e3be5bbd-5aff,4T1G11AK3PU799689,2023 Toyota Camry SE,20495.0,65578.0,20495.0,112,dealer,used,2026-02-15T07:36:26.000Z,2026-03-01T08:55:34.000Z,Detroit,MI,48207,2023,Toyota,Camry,SE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,0.92,3
4T1R11AK0PU759479-a45ba000-856f,4T1R11AK0PU759479,2023 Toyota Camry LE,21950.0,40832.0,21950.0,36,dealer,used,2026-03-01T01:59:07.000Z,2026-03-02T01:58:29.000Z,Detroit,MI,48207,2023,Toyota,Camry,LE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,1.12,3
5YFB4MDE6PP013300-a3591794-f302,5YFB4MDE6PP013300,2023 Toyota Corolla LE,16607.0,69310.0,16607.0,109,dealer,used,2026-02-19T01:23:17.000Z,2026-03-01T01:59:23.000Z,Detroit,MI,48207,2023,Toyota,Corolla,LE,Sedan,Car,CVT,FWD,Unleaded,2.0L I4,4.0,1.12,3
JTEJW3EH9A2039593-518a294e-b05f,JTEJW3EH9A2039593,2010 Toyota Highlander Hybrid Limited,6995.0,209911.0,6995.0,773,dealer,used,2024-10-17T08:13:06.000Z,2026-03-01T04:46:27.000Z,Detroit,MI,48207,2010,Toyota,Highlander,Limited Hybrid,SUV,Truck,CVT,4WD,Electric / Unleaded,3.3L V6,6.0,1.64,16
4T1BD1FK4CU015072-6c9c1c99-b9f4,4T1BD1FK4CU015072,2012 Toyota Camry Hybrid LE,7999.0,136500.0,7999.0,143,dealer,used,2025-11-13T14:52:39.000Z,2026-03-02T01:36:56.000Z,Detroit,MI,48211,2012,Toyota,Camry,LE Hybrid,Sedan,Car,Automatic,FWD,Electric / Unleaded,2.5L I4,4.0,3.94,14
JTNBB46K073032020-d7c197b9-4b1a,JTNBB46K073032020,2007 Toyota Camry Hybrid Sedan,4200.0,185767.0,4200.0,69,dealer,used,2026-02-15T01:29:06.000Z,2026-03-02T01:36:56.000Z,Detroit,MI,48211,2007,Toyota,Camry,Hybrid,Sedan,Car,Automatic,FWD,Electric / Unleaded,2.4L I4,4.0,3.94,19
4T1C31AKXLU018184-9bb4f550-aeaa,4T1C31AKXLU018184,2020 Toyota Camry Hybrid LE,10500.0,153000.0,11500.0,105,dealer,used,2026-02-23T04:44:51.000Z,2026-03-01T06:28:56.000Z,Hamtramck,MI,48212,2020,Toyota,Camry,LE,Sedan,Car,CVT,FWD,Unleaded,2.5L I4,4.0,4.91,6
4T1B11HKXKU170293-9ec2b72b-7dca,4T1B11HKXKU170293,2019 Toyota Camry SE,10500.0,168000.0,11500.0,60,dealer,used,2026-02-23T04:42:55.000Z,2026-03-01T06:28:55.000Z,Hamtramck,MI,48212,2019,Toyota,Camry,SE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,4.91,7
4T1BB46K08U046947-6d2b7ec9-26f2,4T1BB46K08U046947,2008 Toyota Camry Hybrid,6000.0,127800.0,6900.0,1213,dealer,used,2026-01-16T04:19:16.000Z,2026-03-01T06:28:54.000Z,Hamtramck,MI,48212,2008,Toyota,Camry,Hybrid,Sedan,Car,CVT,FWD,Electric / Unleaded,2.4L I4,4.0,4.91,18
4T1BF1FK3HU322315-c9548358-bd1b,4T1BF1FK3HU322315,2017 Toyota Camry SE,9200.0,114000.0,9800.0,102,dealer,used,2026-02-28T06:18:34.000Z,2026-03-01T06:28:53.000Z,Hamtramck,MI,48212,2017,Toyota,Camry,SE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,4.91,9
4T3BK3BB4FU114316-960f525b-a8dd,4T3BK3BB4FU114316,2015 Toyota Venza Limited,9900.0,152000.0,10500.0,124,dealer,used,2026-02-21T04:46:53.000Z,2026-03-01T06:28:53.000Z,Hamtramck,MI,48212,2015,Toyota,Venza,Limited,SUV,Truck,Automatic,4WD,Unleaded,3.5L V6,6.0,4.91,11
2T3BFREV2EW163848-c70029c5-0c81,2T3BFREV2EW163848,2014 Toyota RAV4 LE,11000.0,136000.0,11500.0,302,dealer,used,2025-09-28T15:12:46.000Z,2026-03-01T06:28:52.000Z,Hamtramck,MI,48212,2014,Toyota,RAV4,LE,SUV,Truck,Automatic,4WD,Unleaded,2.5L I4,4.0,4.91,12
JTDKN3DU9C5466607-674c9f55-ddf2,JTDKN3DU9C5466607,2012 Toyota Prius One,8500.0,152000.0,9500.0,178,dealer,used,2025-11-26T13:44:38.000Z,2026-03-01T06:28:52.000Z,Hamtramck,MI,48212,2012,Toyota,Prius,One,Hatchback,Car,CVT,FWD,Electric / Unleaded,1.8L I4,4.0,4.91,14
4T1BK3DB0BU428531-5d91e5c8-c98b,4T1BK3DB0BU428531,2011 Toyota Avalon Limited,9500.0,110000.0,10200.0,139,dealer,used,2025-11-26T13:44:22.000Z,2026-03-01T06:28:51.000Z,Hamtramck,MI,48212,2011,Toyota,Avalon,Limited,Sedan,Car,Automatic,FWD,Unleaded,3.5L V6,6.0,4.91,15
4T1BE46KX9U893516-6ccfb1e7-9cb9,4T1BE46KX9U893516,2009 Toyota Camry LE,3200.0,251000.0,3200.0,159,dealer,used,2025-10-02T16:51:43.000Z,2026-03-01T06:28:48.000Z,Hamtramck,MI,48212,2009,Toyota,Camry,LE,Sedan,Car,Automatic,FWD,Unleaded,2.4L I4,4.0,4.91,17
4T1G11AK0MU545191-a40bfc99-c47b,4T1G11AK0MU545191,2021 Toyota Camry SE,10900.0,163000.0,11900.0,81,dealer,used,2026-02-21T04:46:14.000Z,2026-03-01T06:28:47.000Z,Hamtramck,MI,48212,2021,Toyota,Camry,SE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,4.91,5
5YFBURHE1JP800010-9061b416-402c,5YFBURHE1JP800010,2018 Toyota Corolla LE,9800.0,149000.0,10900.0,252,dealer,used,2025-09-05T09:12:05.000Z,2026-03-01T06:28:47.000Z,Hamtramck,MI,48212,2018,Toyota,Corolla,LE,Sedan,Car,CVT,FWD,Unleaded,1.8L I4,4.0,4.91,8
4T1B11HK3KU833803-e0f8e8f0-bb69,4T1B11HK3KU833803,2019 Toyota Camry LE,18995.0,105599.0,19995.0,528,dealer,used,2026-01-06T05:50:52.000Z,2026-03-01T07:43:06.000Z,Detroit,MI,48210,2019,Toyota,Camry,LE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,5.26,7
5TDGZRBH3NS574575-e2e353c0-f5d3,5TDGZRBH3NS574575,2022 Toyota Highlander XLE,27995.0,122510.0,27995.0,301,dealer,used,2026-01-06T05:50:51.000Z,2026-03-01T07:42:04.000Z,Detroit,MI,48210,2022,Toyota,Highlander,XLE,SUV,Truck,Automatic,4WD,Unleaded,3.5L V6,6.0,5.26,4
4T1BF1FK5EU399246-7b7b6adf-6622,4T1BF1FK5EU399246,2014 Toyota Camry LE,15995.0,76151.0,16995.0,214,dealer,used,2026-01-06T05:50:59.000Z,2026-03-01T07:41:10.000Z,Detroit,MI,48210,2014,Toyota,Camry,LE,Sedan,Car,Automatic,FWD,Unleaded,2.5L I4,4.0,5.26,12
3TMCZ5AN1PM544850-8156168f-be3f,3TMCZ5AN1PM544850,2023 Toyota Tacoma SR V6,34995.0,46146.0,34995.0,249,dealer,used,2026-01-06T05:51:00.000Z,2026-03-01T07:40:12.000Z,Detroit,MI,48210,2023,Toyota,Tacoma,SR,Pickup,Truck,Automatic,4WD,Unleaded,3.5L V6,6.0,5.26,3
5TFUY5F10MX997618-b8107883-8708,5TFUY5F10MX997618,2021 Toyota Tundra SR5,32995.0,56151.0,34995.0,654,dealer,used,2026-01-06T05:50:52.000Z,2026-03-01T07:40:12.000Z,Detroit,MI,48210,2021,Toyota,Tundra,SR5,Pickup,Truck,Automatic,4WD,Unleaded,5.7L V8,8.0,5.26,5
2T1BURHE8HC805926-c5503efb-c158,2T1BURHE8HC805926,2017 Toyota Corolla LE,19995.0,35092.0,19995.0,551,dealer,used,2026-01-06T05:50:53.000Z,2026-03-01T07:40:11.000Z,Detroit,MI,48210,2017,Toyota,Corolla,LE,Sedan,Car,CVT,FWD,Unleaded,1.8L I4,4.0,5.26,9
5YFB4MDE3SP230652-7e1041ea-fbe8,5YFB4MDE3SP230652,2025 Toyota Corolla LE,23995.0,17931.0,25995.0,129,dealer,used,2026-01-30T05:35:20.000Z,2026-03-01T07:40:11.000Z,Detroit,MI,48210,2025,Toyota,Corolla,LE,Sedan,Car,CVT,FWD,Unleaded,2.0L I4,4.0,5.26,1
JTMRFREV8JJ230363-4e888c77-c198,JTMRFREV8JJ230363,2018 Toyota RAV4 XLE,22995.0,79642.0,22995.0,483,dealer,used,2026-01-06T05:51:20.000Z,2026-03-01T07:40:11.000Z,Detroit,MI,48210,2018,Toyota,RAV4,XLE,SUV,Truck,Automatic,4WD,Unleaded,2.5L I4,4.0,5.26,8
2T1BURHE2EC216897-61859533-d3b2,2T1BURHE2EC216897,2014 Toyota Corolla LE,8995.0,117731.0,8995.0,353,dealer,used,2026-02-05T09:57:53.000Z,2026-03-01T06:44:54.000Z,Detroit,MI,48210,2014,Toyota,Corolla,L,Sedan,Car,Manual,FWD,Unleaded,1.8L I4,4.0,5.33,12
